1HAC20CT001_	1LAB50AA001_	1LAB40AA001_	1HAD13AA001_	1HNA10DT001_D01_PV	1HNA10DT001_D01_LMN	1HNA10DT001_D01_SP	1LAB40DF001_B01_LMN	1LAB40DF001_B01_PV	1LAB40DF001_B01_SP	1HAD10DL010_LMN	1HAD12AA001_	1HAD10DL010_SP	1HAD10DL010_PV	1HAD10CL901_F_	1HAD10CL001_F_	1HAD10CL002_F_	1HAD10CL003_F_	1HAC20CT901_	1HAD10CP001_	1HAD10CP002_	1HAD10CP9012	1HAD10CT001_	1HAD10CT002_	1HAD10FT001_	1LAB40CF001_	1LAB40CP004_	1LAB40CT001_	1LAB40FF001_	1LAB60CP001_	1LAB60CT001_	1LAD20CT001_	1LBA22AA101_	1HAH19CT001_	1LBA10AA101_	1LBH10AA001_	1LBA10DT001_D01_PV1	1LBA10DT001_D01_LMN1	1LBA10DT001_D01_SP1	1LBA10DT001_D01_PV2	1LBA10DT001_D01_LMN2	1LBA10DT001_D01_SP2	1LBA10DT001_D01_PV3	1LBA10DT001_D01_LMN3	1LBA10DT001_D01_SP3	1LBA10DT001_D01_PV4	1LBA10DT001_D01_LMN4	1LBA10DT001_D01_SP4	1LAE22AA001_	1HAD10DP001_D01_LMN	1HAD10DP001_D01_SP	1HAD10DP001_D01_PV	1LAE21AA001_	1LBA10CP002_F_	1LBA10CP001_F_	1LBA10CP901_F_	1LBA10CP003_F_	1HAH19CT002_	1HAH19CT901_	1HAH21CT001_	1HAH21CT002_	1HAH23CT001_	1HAH23CT002_	1HAH30CT001_	1HAH30CT002_	1LAE21CF001_	1LAE22CF001_	1LBA10CF001_	1LBA10CT001_	1LBA10CT002_	1LBA10CT901_	1LBA10FF001_	1LBA10FP001_	1GCL02CL001_	1GHC11AP001_	1GHC12AP001_	1GHC04CP001_	1GHC20CP001_	1GCL01CL001_	1GHC20AA001_	1GHC20CF001_	1LAA10AA101_	1LBQ01AA001_	1LBQ01DT004_LMN	1LBQ01DT004_PV	1LBQ01DT004_SP	1LBA40AA051_	1LAA10DP002_D01_LMN	1LAA10DP001_D01_LMN	1LAA10DP002_D01_SP	1LAA10DL001_D01_LMN	1LAA10DP002_D01_PV	1LAA10DP001_D01_PV	1LAA10DP001_D01_SP	1LAA10DL001_D01_PV	1LAA10DL001_D01_SP	1LAB42AA051_	1LAA10CL001_	1LAA10CL002_	1LAA10CL901_	1LAA10CP001_	1LAA10CT001_	1LAB42CF001_	1LBQ01CP001_	1LBQ01CT004_	1LCA10CF001_	1LCA10CP001_	1LCA10CT001_	1LAB35CF001_	1LAB40CP001_	1LAC20AP001_P	1LAC10AP001_C	1LAC10AP001_P	1LAB40DP001_D01_LMN	1LAB40DP001_D01_SP	1LAB40DP001_D01_PV	1LAC20AP001_C	1LAC10AP001_A2	1LAC10CP001_	1LAC10CS001_	1LAC10CT001_	1LAC10CT002_	1LAC10CT003_	1LAC10CT004_	1LAC10CT005_	1LAC10CY001_	1LAC10CY002_	1LAC20AP001_A1	1LAC20CP001_	1LAC20CS001_	1LAC20CT001_	1LAC20CT002_	1LAC20CT003_	1LAC20CT004_	1LAC20CT005_	1LAC20CY001_	1LAC20CY002_	1LAC30CP001_	1LAC30CS001_	1LAC30CT001_	1LAC30CT002_	1LAC30CY001_	1LAC30CY002_	1XAA20GH001_A1
201.2228477	100	47.20166678	0	180.0639332	100	175	47.01662205	17.59806112	17.60364845	16.95585658	35.5	-5	-3.855089377	-5.348561431	-14.55426195	-0.663081753	-0.029506574	71.04763763	54.14770438	53.73477636	53.95489004	271.9763274	272.4103484	272.2711074	16.95698358	4.044721721	129.1691727	17.6014467	53.02698514	129.4443474	126.7470232		339.9472372	100	0	387.0846847	19.21532544	396.7479592	337.6938057	0	352.7773029	415.7005521	-2	425	384.4129223	0	389.5917361	0	0	51.49998169	50.00795726	0	49.38243521	50.33305042	50.00484842	50.29906877	339.7462695	339.9518045	337.668591	337.7225186	386.6026259	387.5932467	384.0337519	384.7971193	0.010946611	0.000294467	15.61743684	415.7005035	415.7005035	415.7006495	15.59977291	-0.017171927	89.9986114	0	1.15	0.556819126	4.485325148	88.65399335	21.88600002	0.003681385	0	97.21000133	0	130.6696274	180	0.093815104	0	96.82302893	1.3	22.25112827	1.48138728	1.48138728	1.5	79.40194307	80	0.277291667	79.7056926	78.89059957	79.36610805	1.48138728	128.5543878	0.231001016	1.707797329	130.6696274	20.4284943	0.014305169	91.98272126	0.000225265	65.97822374	0	416.1600057	2838.596281	88.93002671	4	3.852494796	0	2853.015309	3.526983789	2597.094651	83.2063872	83.41700402	81.9206218	71.87479648	81.52990723	0.138165152	0.614021776	0	3.604515473	-0.542519999	29.70184209	32.70303435	31.95059475	23.70438536	23.95032802	0.180189638	0.233725751	3.600750873	4.484832382	36.58017149	32.16760273	0.184542049	0.189408313	-8.10252676
201.8844016	100	48.05433346	0	180.5308628	100	175	47.8517334	16.75986205	17.00338016	17.29640474	35.49966667	-5	-3.109995305	-1.568837159	-12.52149623	3.642460224	4.42400346	70.69400091	54.70327473	54.14962402	54.19816036	272.0585066	272.4815736	272.5716694	17.27512818	3.8762148	129.047184	16.73496065	53.34773507	129.1745119	126.7104731		341.2082275	100	0	388.49941	18.93224505	396.6866135	338.9577458	1.745309388	348.4740091	416.8030623	-2	425	385.6827999	3.818232234	389.3432063	3.774666594	0	51.49998093	50.01704678	1.694666663	49.39604844	50.33805646	50.01694173	50.31672404	340.9372299	341.0727226	338.9123894	339.0014793	388.0091308	389.0057705	385.2101255	386.1449715	0.011926341	0.000298223	16.73060394	416.8032131	416.8029117	416.8030656	15.6784177	-0.004318594	90.15879033	0	1.150041643	0.558140645	4.463020471	88.7935876	25.41999959	0.003755898	0	98.13633385	0	130.5106449	180	0.11328125	0	97.9928508	1.299999952	25.55624912	1.46539015	1.46539015	1.5	78.45172831	80	0.26171875	79.08646034	78.95607246	78.52421539	1.46539015	128.3704919	0.231273309	1.691503257	130.5106449	21.11722986	0.017073995	92.14235263	0.000256301	66.70915319	0	425.2793391	2862.534058	89.41462672	4	3.817662503	0	2849.136811	3.513076222	2597.138569	82.9244222	83.23593458	81.70824776	71.75763504	81.52942759	0.138882729	0.605890378	0	3.586796852	-0.542519987	29.66491905	32.68125944	31.88565963	23.66828519	23.91405801	0.17534563	0.257405052	3.58295604	4.484832287	36.53684249	32.10366235	0.186002466	0.180920081	-8.197758567
202.4987019	100	48.13900019	0	181.0952101	99.99992378	175	48.27059766	16.42167669	16.63646727	17.20214427	35.40033485	-5	0.840956813	-0.353718189	-12.10146406	6.120469078	7.204239314	71.38799273	55.95464151	54.70984151	55.35240936	273.990317	274.4141144	273.9152759	17.1002425	3.922456617	128.9946717	16.42784061	54.25910536	129.3159829	126.5372058		340.9992978	100	0	388.7524561	18.64150721	394.9188809	338.6513241	1.450214481	337.8732321	417.7039864	-2	425	384.9391195	2.559179675	381.5937967	2.604999959	0	51.49998093	50.16003914	1.596333346	49.54589504	50.48077371	50.1593111	50.45124934	340.8194547	340.2541258	338.6858454	338.6499553	388.2668828	389.2536555	384.4976439	385.3415664	0.006673883	0.000298252	17.6208274	417.7491903	417.6587496	417.7049764	18.15634568	0.168375611	90.31207403	0	1.162500024	0.55923484	4.45255899	88.9151814	22.5386667	0.003688644	0	98.30000305	0	131.1248869	180	0.113216146	0	98.06438484	1.299999952	22.24080989	1.486760902	1.486760902	1.5	80.07749545	80	0.261614583	80.7133518	81.13434301	80.85430768	1.486760902	128.5561126	0.234158739	1.739679073	131.1248869	22.45602149	0.032213268	92.36811244	0.000256559	67.17685727	0	427.0316732	2866.500516	89.33581581	4	4.17978138	0	2860.145174	3.536363137	2603.268347	82.93326968	83.15027039	81.68216319	71.83693176	81.38582133	0.138161853	0.600390622	0	3.607756568	-0.542519987	29.64314871	32.6377835	31.87109594	23.65217255	23.84998053	0.182383202	0.232200485	3.604089991	4.484832287	36.51509243	32.06631009	0.188770925	0.204065994	-8.101631234
201.8115708	100	49.65433437	0	178.4609226	99.9771578	175	49.53567628	18.71046224	18.58653987	18.45573789	35.5	-5	-16.44813653	-16.14880885	-23.78405183	-10.04586862	-10.81321285	72.05879679	55.77775335	53.88054712	54.81286138	272.8086336	273.2868979	273.3276443	18.3766153	4.106452876	129.3222913	18.71241199	53.81007699	129.5863342	126.4772746		337.4984746	100	0	386.1964488	19.37724312	395.7959982	335.9320744	0	345.7994871	414.9363547	-2.000072983	425	383.6019341	0	385.8136239	0	0	51.49998093	50.04281161	0	49.42728812	50.36195134	50.03884589	50.32729443	337.3432098	337.3841317	335.9409561	335.9230103	385.6720642	386.7367711	383.1946473	384.0440796	0.000855391	0.000258543	16.32394382	414.9746795	414.8790866	414.9413388	16.74182223	0.065102316	90.46799988	0	1.162458357	0.560462878	4.466149147	89.04487195	20.81866659	0.003836233	0	98.30000305	0	131.1358388	180	0.093815104	0	97.98465787	1.299999952	20.94915319	1.497773958	1.497773958	1.5	81.94614657	80	0.23046872	80.33831721	80.18324938	80.5692572	1.497773958	128.7266411	0.23093449	1.737945976	131.1358388	20.93633082	0.012742559	91.36330086	0.000337515	67.00051626	0	437.994006	2882.133853	90.54827484	4	3.809922531	0	2890.488814	3.536665352	2636.511115	82.94178673	83.17168841	81.76118029	71.85142123	81.32902606	0.138164191	0.603882072	0	3.621272631	-0.542519987	29.59967466	32.57285444	31.82771835	23.62481649	23.84905537	0.187068739	0.232689099	3.617127825	4.484832287	36.47899002	31.99416937	0.183650957	0.202455798	-8.101652075
199.7136709	100	47.96599969	0	178.3496643	99.98411532	175	47.95489886	17.39458288	17.77301415	17.62004832	35.5	-5	-6.726917635	-4.093119805	-13.45503089	1.334310904	-1.846172908	73.20307955	55.24598277	53.27737441	54.45797624	272.2372955	272.649625	272.8921125	17.34239506	4.021484723	129.3249593	17.38644419	53.00829445	129.5857568	126.5378599		336.4904597	100	0	384.5644631	19.81353298	396.4363476	334.3112914	0	350.7914049	413.4721336	-2.021821949	425	381.9329032	0	388.3453356	0	0	51.49998093	50.01647485	0	49.39443207	50.32145364	50.0164053	50.33333778	336.3096428	336.4000666	334.3020472	334.320566	384.0671486	385.0617469	381.5712112	382.2952337	0.010637003	0.000192523	16.04298077	413.5270335	413.4189674	413.470917	15.97723884	0.015709668	90.59546796	0	1.149999976	0.561549342	4.480234788	89.17868062	22.34899955	0.003858128	0	98.30000305	0	130.8771601	180	0.113216146	0	97.98584292	1.299999952	23.00705743	1.493276157	1.493276157	1.5	79.67784993	80	0.23062497	79.95963178	79.58159297	79.67473244	1.493276157	128.6995975	0.231393167	1.722905552	130.8771601	20.82440789	0.010204637	92.24252134	0.031438458	66.29647855	0	423.987339	2853.933864	89.00016858	4	4.021486143	0	2853.589298	3.540664248	2598.128026	83.08512622	83.27317116	81.85985669	71.87266871	81.82603828	0.138880695	0.592020368	0	3.616897825	-0.542519987	29.53479003	32.55835739	31.79152074	23.58862333	23.81219994	0.177951375	0.235213147	3.613354247	4.484832287	36.46427554	31.980399	0.183031732	0.185925791	-8.102107452
199.811572	100	46.90899952	0	179.1514332	100	175	46.87955179	16.8523162	17.03726119	17.01889901	35.5	-5	-0.610027489	-0.381430597	-11.81955786	6.245658753	5.052672863	73.13030561	55.55764263	53.43422674	54.50040586	272.4535522	272.8952133	272.9437853	16.92867902	3.903608956	129.1907677	16.85726625	52.84648501	129.4180449	126.6889328		336.9428788	100	0	384.3295974	19.80998561	396.1830144	334.7544966	0	348.663287	413.6434141	-2	425	381.6892269	0	387.332094	0	0	51.49998093	50.05140535	0	49.45465724	50.36250149	50.05333748	50.3428537	336.7618205	336.8523351	334.6824412	334.826552	383.8321623	384.8269692	381.2460091	382.1321231	0.000756231	0.000262785	16.50619594	413.6704839	413.6163437	413.6434153	16.28980333	0.028468841	90.75213888	0	1.149999976	0.562633668	4.487853929	89.3507135	23.56133373	0.003680484	0	98.30000305	0	130.8346281	180	0.093815104	0	98.28754641	1.299999952	23.39434973	1.484791891	1.484791891	1.5	79.90083496	80	0.277291667	80.00161077	79.59280474	79.89632449	1.484791891	128.5941721	0.230925268	1.717770135	130.8346281	20.92217306	0.016140559	92.14077415	0.000253218	66.09690358	0	418.7363404	2847.372938	88.9776797	4	3.903607314	0	2842.811893	3.529233076	2589.160653	83.06075778	83.23402547	81.74541069	71.75701113	81.66902262	0.137467286	0.605226529	0	3.603029562	-0.542519987	29.53452903	32.53653884	31.745734	23.54524573	23.78395423	0.179391709	0.246408344	3.599710724	4.484832287	36.37522577	31.94350449	0.189590135	0.191661165	-8.244088669
200.2544568	100	47.76466629	0	179.3368102	100	175	47.86656021	17.03795188	16.8396557	17.4514149	35.5	-5	-8.946870785	-9.056019756	-20.26334917	-4.33674082	-2.054890569	72.48541992	55.26977341	53.34192974	54.32124049	272.4531672	272.8978969	272.7237287	17.29867708	4.033872773	129.2645456	17.03794691	53.0299991	129.5321824	126.5926555		337.4857212	100	0	384.1515835	19.84428988	396.1836689	335.2345219	0	348.7181734	413.3646098	-2.000160379	425	381.4776555	0	387.3346495	0	0	51.49998093	49.99750977	0	49.38729093	50.30969446	49.99546599	50.28940881	337.2510663	337.3504028	335.2434107	335.2255939	383.6181956	384.6842409	381.0037317	381.8827199	0.000775858	0.000192329	16.03901975	413.2098456	413.1745922	413.2496435	16.28486183	0.020535638	90.88675087	0	1.149999976	0.563895559	4.491834345	89.44200155	23.90900076	0.00349664	0	98.30000305	0	130.9856167	180	0.113216146	0	98.18801971	1.299999952	24.34586518	1.491704011	1.491704011	1.5	79.63223803	80	0.261770833	79.75070686	79.74881231	79.70150045	1.491704011	128.6928148	0.232758267	1.724437764	130.9856167	20.83400397	0.0146946	91.89660075	0.000254211	66.42143333	0	422.7093399	2851.282759	88.94057505	4	4.01054891	0	2856.051859	3.538315533	2591.610453	82.8247861	83.06289604	81.536374	71.66564779	81.44992274	0.138888369	0.612734755	0	3.612536236	-0.542519987	29.45757461	32.47879423	31.72644577	23.5091268	23.74771474	0.178942326	0.244478582	3.609131138	4.484832285	36.33425302	31.92173443	0.18742253	0.191240161	-8.116336816
200.1062487	100	47.33433339	0	179.7589025	100	175	47.22487047	17.43742842	17.16430275	16.96318497	35.49966667	-5	-2.823343763	-4.114906281	-13.74118173	0.418669993	4.204386315	72.40689334	54.57173965	53.95054942	54.1604538	272.3375963	272.7450057	272.5253931	17.11750106	4.082348548	129.2882704	17.44788606	53.00381397	129.5642802	126.5916138		338.137627	100	0	384.822368	19.74441938	396.3342939	335.9563928	0	349.8806836	413.5090982	-2.047989779	425	382.0999767	0	387.9456913	0	0	51.49998093	50.0465981	0	49.47934614	50.34785194	50.050522	50.32437556	338.0286146	338.0944685	335.9131114	335.9788699	384.3250239	385.3195928	381.6121403	382.5883977	0.000815963	0.000219082	16.18330982	413.58909	413.4212287	413.5083985	16.1010997	0.045517184	91.03598295	0	1.149999976	0.565139419	4.495017702	89.57938934	23.32466612	0.003616101	0	98.30000305	0	130.8549416	180	0.09375	0	98.248243	1.299999952	23.13083546	1.489457202	1.489457202	1.5	80.32429095	80	0.2771875	80.58399854	79.72846593	80.17365534	1.489457202	128.6350064	0.232769229	1.721975245	130.8549416	21.00218641	0.017887604	92.17684865	0.000253863	66.27596044	0	420.3943392	2849.391353	89.14500165	4	4.082330529	0	2849.833366	3.538305385	2597.085461	82.76568146	82.92340042	81.4644695	71.6558194	81.32770767	0.139602538	0.602521762	0	3.613677277	-0.542519987	29.44146099	32.45701667	31.69033064	23.48735266	23.68995001	0.179379643	0.232333646	3.610341096	4.48483181	36.29816449	31.87844207	0.185930014	0.193113066	-8.240496359
200.7016984	100	48.02533427	0	180.205941	100	175	48.05648492	17.0554027	16.96974063	16.96952727	35.40033485	-5	-5.792584238	-5.92416931	-18.66949391	0.445829277	4.183263456	72.14294718	55.43206488	53.42696257	54.42122765	272.2050283	272.6306237	272.8540701	17.19316107	3.988570877	129.206221	17.057186	52.64989338	129.4665552	126.5915401		339.0425224	100	0	385.9886871	19.54330526	396.4531443	336.7726018	0	350.6768143	414.3363036	-2.010922075	425	383.1542562	0	388.4107839	0	0	51.49998093	49.99144962	0	49.38245989	50.31758479	49.99380179	50.28136826	338.7773073	338.9219174	336.763669	336.7817258	385.5007706	386.4773351	382.6991568	383.6022688	0.00093332	0.0002981	16.0394724	414.3994475	414.2731618	414.3362701	15.95534359	0.013855182	91.17868429	0	1.149999976	0.566249945	4.492812293	89.71603467	22.76633312	0.003496883	0	98.30000305	0	130.8341254	180	0.09375	0	98.82859156	1.299999952	22.70057557	1.486901611	1.486901611	1.5	80.09837011	80	0.23062497	80.43228658	80.01150327	80.21505905	1.486901611	128.6564457	0.230858621	1.716535596	130.8341254	20.70202066	0.020231079	91.90354525	0.000425022	66.34891589	0	422.5140066	2850.022189	88.84630974	4	3.98858764	0	2852.687093	3.535394003	2588.063757	82.57920456	82.88181496	81.37283727	71.59094236	81.43078832	0.140409616	0.600388074	0	3.609883804	-0.542519987	29.41883144	32.41375463	31.66855459	23.44402328	23.66335678	0.175295576	0.245892427	3.606193884	4.48483181	36.27641056	31.84225791	0.185868863	0.185666828	-8.106377939
201.244634	100	47.34133371	0	180.9512137	99.99999115	175	47.4406753	17.16815077	17.46233248	17.46657878	35.5	-5	-5.501472766	-5.649253809	-16.00744633	0.581737668	4.154197044	71.44024577	54.80462783	53.81193047	54.29592074	272.5191944	272.9527709	272.6925531	17.01263758	3.980976484	129.1054978	17.16589975	52.95585378	129.348892	126.5693953		340.1599358	100	0	387.2619458	19.23682076	396.1300371	337.7831381	0.034294542	347.9697212	415.7713927	-2.017266208	425	384.5312217	0	387.2005088	0	0	51.49998093	50.07192102	0.024666666	49.49936733	50.37343582	50.07268555	50.34524206	339.889547	340.0212436	337.8038793	337.8103547	386.7825628	387.7417905	384.1060845	384.9563914	0.003754581	0.000214322	16.40407874	415.7898844	415.7535397	415.7704802	16.30738635	0.048655722	91.31485331	0	1.149999976	0.567369612	4.499985638	89.83988917	24.33466705	0.003689136	0	98.30333639	0	130.8124832	180	0.09375	0	99.05152786	1.299999952	24.34094945	1.483757875	1.483757875	1.5	79.75691086	80	0.27734375	79.58995227	79.51572138	79.71305911	1.483757875	128.5507193	0.231711589	1.717271251	130.8124832	21.21679743	0.01603892	92.09700455	0.000505162	66.55957331	0	421.1700062	2850.647185	89.12484667	4	3.982371551	0	2851.717808	3.529625982	2595.995601	82.47991641	82.76554893	81.29389732	71.59088648	81.35391401	0.13964769	0.603224766	0	3.604116909	-0.542519987	29.35398662	32.37746704	31.62524932	23.42226949	23.63935607	0.175708752	0.23804083	3.60031146	4.48483181	36.24033356	31.82766476	0.183520369	0.190004666	-8.101952661
