1HLC03CT001_	1HLC51CF001_	1HLC52CF001_	1HLC53CF001_	1HLC51CT001_	1HLC52CT001_	1HLC53CT001_	1HTA11CF001_	1HTA11CF001___	1HBK10FT001_	1HBK10DT001_PV	1HBK40CT001_	1HBK40CT002_	1HBK40CT003_	1HAD10FT001_	1HBK40CT006_	1LBA10CF001_	1LBA10CT901_	1HNA10CT001_	1LAB40CF001_	1HAC20CT001_	1LAB40CT001_	1LBA20CP901XQ01	1LBA20CT901XQ01	1MAA35CP901XQ01	1NDD10CP901XQ01	1MKA10CE015XQ01	1NDD10CT001XQ01	1NDD10CP001XQ01	1NDD20CT001XQ01	1NDA10CT001_	1NDB10CT003_	1NDA10CF010_A
87.66521408	5.994647211	5.547184467	4.244850155	90.93536521	92.94621954	94.98916585	88.85157915	139.4029028	1140.936627	1140.482975	478.2384758	429.1631	516.8710608	271.110251	319.6460386	14.66251938	425.4422124	181.4608768	15.63972311	204.4711707	128.8426712	50.00326453	429.0617544	0.154660239	-0.45510509	9.69816068	78.35583859	-0.45510509	104.9744391	103.0316685	48.40130707	44.45610296
87.6573802	5.997632166	5.54636369	4.244329556	91.23133356	93.01010813	95.7509082	88.6320325	138.9381738	1141.879758	1141.90929	477.2290009	429.7299729	516.7428273	271.1165388	319.5420239	14.68327915	426.006588	182.3104313	15.61943135	204.0312602	128.9911929	49.99506838	429.5859035	0.154828976	-0.456418944	9.666290554	78.33627369	-0.456418944	105.0929172	103.099019	48.12254231	46.30649093
87.68234289	5.997480577	5.545039761	4.244969831	91.56393962	93.80450879	96.26058711	89.38380819	139.8520916	1145.858116	1146.264391	477.0311348	430.6036748	517.9333563	271.0781043	319.0736415	14.59083801	425.8770514	181.7584866	15.65196164	204.1084288	129.0434671	50.010071	429.5070298	0.151235246	-0.459356136	9.671847653	78.21907213	-0.459356136	104.8728086	102.8650523	48.22882922	46.04240401
87.6824344	5.99642685	5.550683714	4.248539471	90.97438064	93.27545921	95.73265331	90.32943396	141.2723405	1156.112959	1156.114719	479.4453034	433.3707596	520.0634691	271.2903728	319.4225316	14.83336549	425.9880892	182.8704112	15.74368066	203.6408734	129.1449597	50.01904387	429.6209081	0.153721605	-0.456238779	9.830494994	78.33702543	-0.456238779	104.9812155	103.0267352	48.27383259	49.32007199
87.71322227	5.990110565	5.540342798	4.244930138	91.80836322	93.47296692	96.07104125	90.07493784	140.9612808	1148.463525	1148.813505	478.7979695	431.1881747	518.9795268	271.2363921	319.1881411	14.62653299	425.2432023	183.5224496	15.617205	203.0914835	128.9611536	49.97542912	428.8915491	0.155214777	-0.45584285	9.640178708	78.23067681	-0.45584285	104.9673065	102.9766348	48.18598501	41.91825159
87.67038794	5.993136337	5.544209821	4.245194932	91.45375691	93.84882378	96.44006927	89.90681738	140.8681344	1155.690148	1155.333783	480.1445916	435.2553085	521.8351443	271.168001	319.85206	14.70277621	426.1593351	183.8248972	15.65106753	203.1970436	128.9242457	50.00851713	429.8037331	0.151618118	-0.455825134	9.709912352	78.33292714	-0.455825134	105.0162494	103.0532084	48.37643736	37.85299936
87.65961837	5.991709261	5.541790201	4.241129606	91.35058617	93.3331894	95.77032597	89.0405968	139.697045	1160.735019	1160.197897	482.160227	433.8592235	521.381049	271.1227544	319.5367212	14.66401192	424.9433622	184.1224894	15.63174871	202.636697	129.0732047	50.02427238	428.5785333	0.157715715	-0.453255573	9.637162102	78.39046381	-0.453255573	104.9750698	103.0116836	48.40704267	35.30598976
87.6875484	5.994924768	5.551122259	4.250601082	91.26696539	93.28954151	95.48197533	90.08005399	141.5611294	1158.312035	1158.344845	478.4497797	427.7408319	518.5614767	270.9502005	319.4413294	14.65656221	424.865374	185.0546723	15.66775927	202.2399444	129.0733417	49.98489596	428.4775833	0.15211338	-0.455500844	9.668491506	78.3993633	-0.455500844	104.9860593	103.029006	48.36080216	31.95371171
87.65209729	6.001824491	5.550994621	4.252777167	91.30545645	93.43370711	96.00804116	90.79407426	142.3453414	1155.712349	1155.845496	480.703405	434.4668179	522.3655337	270.5772511	320.6869957	14.72761446	425.1114586	186.1796607	15.7048406	202.6155742	129.169435	49.99346288	428.7738801	0.154127145	-0.449912787	9.698489957	78.72360323	-0.449912787	104.9685712	102.9844146	49.15732018	28.66038795
87.64820129	5.999911209	5.542195596	4.241154866	91.20414798	92.85478052	95.27475702	90.42067054	141.3598602	1156.459199	1156.751306	479.1630496	430.1382791	519.6939384	271.1190219	319.9367562	14.63543484	425.0001167	185.3273341	15.55578263	202.2556875	128.8093936	50.00703573	428.5671491	0.154701628	-0.450342824	9.633956955	78.66495195	-0.450342824	105.0047113	103.0559206	48.93275337	27.49853363
